instrument_token,exchange_token,tradingsymbol,name,instrument_type,segment,exchange
50948356,199017,IVZGOLDINAV,INAV INVESCINDGOLXCHANGER,EQ,BSE,BSE
50948612,199018,HDFCETFINAV,INAVHDFCMUTUAL-HDFC GOLD E,EQ,BSE,BSE
50948868,199019,ICICIGDINAV,INAVICICI PRUDENTIAL GOLD ETF,EQ,BSE,BSE
50949124,199020,MON100INAV,INAVMOTILALOSWALMOSTSHARNASD,EQ,BSE,BSE
50949380,199021,BSLGOLDINAV,INAVADITYABIRLASUNLIFMUTUAL,EQ,BSE,BSE
50949636,199022,AXISGOLDINV,INAVAXIS MUTUAL AXIS GOLD E,EQ,BSE,BSE
50949892,199023,IDBIGDINAV,INAVIDBI MUTUAL - IDBI GOLD E,EQ,BSE,BSE
50950148,199024,ICICISINAV,INAVICICI PRUDENTIMUTUAL FUND,EQ,BSE,BSE
50950404,199025,GOLDBSINAV,INAVNIPPON INDI ETFGOLDBEES,EQ,BSE,BSE
50950660,199026,KOTAKGDINAV,INAVKOTAK MAHINDRA MUTUAL,EQ,BSE,BSE
50950916,199027,SBIGETSINAV,INAVSBI MUTUAL GOLD EXC,EQ,BSE,BSE
50951172,199028,QGOLDLFINV,INAVQUANTUM GOLDEXCHANGE T,EQ,BSE,BSE
50951428,199029,GOLDSHAINV,INAVUTI  GOLD EXC,EQ,BSE,BSE
50951684,199030,HNGSNGINAV,INAVNIPPONETF HANG SENG BEE,EQ,BSE,BSE
50951940,199031,SILVERINAV,INAVADITYA BIRSUNLIFEMUTUAL,EQ,BSE,BSE
50952196,199032,KTKSENSINAV,INAV KOTAK SENSEX ETF,EQ,BSE,BSE
50952452,199033,SBISENSINAV,INAV- SBI ETF SENS,EQ,BSE,BSE
50952708,199034,MOM100INAV,INAV - MOTILAL OSWAL MOST S,EQ,BSE,BSE
50952964,199035,ICICINIINAV,INAV ICICIPRUDENTIAL NIFTY,EQ,BSE,BSE
50953220,199036,ICICINFINAV,INAV ICICI PRUDENTIALNIFT,EQ,BSE,BSE
50953476,199037,NIF100BINAV,INAV NIPPON INDIA ETF NIFTY,EQ,BSE,BSE
50953732,199038,KOTAKNIINAV,INAV  - KOTAK NIFTY ETF,EQ,BSE,BSE
50953988,199039,CPSEETFINAV,INAV- CPSE ETF,EQ,BSE,BSE
50954244,199040,SENSEXBINAV,INAV NIPPO INDIA ETF SENSE,EQ,BSE,BSE
50954500,199041,SETFBSEINAV,INAV - SBI ETF BSE 100,EQ,BSE,BSE
50954756,199042,UTISENSINAV,INAV UTI- SENSEX ETF,EQ,BSE,BSE
50955012,199043,UTINIFTINAV,INAV UTI NIFTY ETF,EQ,BSE,BSE
50955268,199044,LICE50INAV,INAV -LIC MF ETF NIFTY 50,EQ,BSE,BSE
50955524,199045,LICETFINAV,INAV -LIC MF ETF- SENSEX,EQ,BSE,BSE
50955780,199046,HDNIFINAV,INAV HDFC NIFTY ETF,EQ,BSE,BSE
50956036,199047,SXETFINAV,INAV HDFC SENSEX ETF - OPEN,EQ,BSE,BSE
50956292,199048,LICFNHINAV,INAV -LIC MF ETF NIFTY 100,EQ,BSE,BSE
50956548,199049,ICICINVINAV,INAV ICICI PRUDENTIAL NV20,EQ,BSE,BSE
50956804,199050,ICICIMCINAV,INAV ICICI PRUDNTIAL MIDCA,EQ,BSE,BSE
50957060,199051,BSLSENEINAV,INAV BIRLA SUN LIFE SENSEX,EQ,BSE,BSE
50957316,199052,IDFSENSINAV,INAV IDFC SENSEX ETF,EQ,BSE,BSE
50957572,199053,ICICILOINAV,INAV ICICI PRUDENTIL NIFTY,EQ,BSE,BSE
50957828,199054,UTINEXTINAV,INAV UTI NIFTY NEXT 50 ETF,EQ,BSE,BSE
50958084,199055,ICICIB2INAV,INAV BHARAT 22 ETF,EQ,BSE,BSE
50958596,199057,ICICI50INAV,INAV ICICI PRUDENTIAL S&P B,EQ,BSE,BSE
50958852,199058,ICICINXINAV,INAV ICICIPRUDENTIALNIFTY,EQ,BSE,BSE
50959364,199060,SETFSN5INAV,INAV SBI - ETF - SENSEX NEX,EQ,BSE,BSE
50959620,199061,MAN50ETINAV,INAV MIRAE ASSET NIFTY 50 E,EQ,BSE,BSE
50959876,199062,ABSLNN5INAV,INAV ADITYA BIRLASUN LIFE,EQ,BSE,BSE
50960132,199063,UTISXN5INAV,INAV UTI S&P BSE SENSEX NEX,EQ,BSE,BSE
50960388,199064,ICICIPBINAV,INAV ICICI PRUDENTIAL BANK,EQ,BSE,BSE
50960644,199065,SNXT50BINAV,INAV NIPPON INDIA ETF SENSE,EQ,BSE,BSE
50960900,199066,ICICIBAINAV,INAV ICICI PRUDENTIAL PRIVA,EQ,BSE,BSE
50961156,199067,ABSLBANINAV,INAV ADITYA BIRLA SUN LIFE,EQ,BSE,BSE
50961924,199070,ICICIM1INAV,INAV ICICI PRUDENTIAL MIDCA,EQ,BSE,BSE
50962180,199071,MANXT50INAV,INAV MIRAE ASSET NIFTY NEXT,EQ,BSE,BSE
50962948,199074,ICICIALINAV,INAV ICICI PRUDENTIAL ALPH,EQ,BSE,BSE
50963204,199075,ICICITEINAV,INAV ICICI PRUDENTIAL IT ET,EQ,BSE,BSE
50963460,199076,HBANKETINAV,INAV HDFC BANKING ETF,EQ,BSE,BSE
50963716,199077,UTIBANKINAV,INAV UTI BANK EXCHANGE TRAD,EQ,BSE,BSE
50963972,199078,MAESGETINAV,INAV MIRAE ASSET ESG SECTOR,EQ,BSE,BSE
50964484,199080,INFRABEINAV,INAV NIPPON INDIA  ETF INFR,EQ,BSE,BSE
50964740,199081,MAFANGINAV,INAV MIRAE ASSET NYSE FANG+,EQ,BSE,BSE
